Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,50,32100,24281,16942,3085,4284,524,3535,16423,239,1346
C:\ApneaMKIII\DevelopmentProject\PCSoftware\Common,50,32100,24281,16942,3085,4284,524,3535,16423,239,1346
